"iso.3","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"TUR",0,0,0,0,0,0,0,365,5100,9850,15600,31800,47800,61400,84200,175000,437000,806000,1610000,3510000,8120000,16100000,19600000,23300000,27900000,34700000,43600000,52700000,6.2e+07,65800000,62800000,61800000,65300000,67700000,69700000,71900000,73600000,75100000,77800000,80100000,80800000
"TUV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1300,1600,1800,1812.20228384992,1000,1600,2130,2800,3400,3800,6600,7600,8000,8000,8000
"TZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,3500,9040,20200,37900,51000,111000,276000,607000,1300000,1940000,2960000,5610000,8250000,1.3e+07,17500000,2.1e+07,25700000,27200000,27400000,31900000,39700000,4e+07,4e+07,43500000,47700000
"UGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,4000,5000,30000,56400,127000,284000,393000,776000,1170000,1320000,2010000,4200000,8550000,9380000,12800000,16700000,16400000,18100000,20400000,20200000,22800000,24900000,24500000,24500000
"UKR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5000,14000,30000,57200,116000,217000,819000,2220000,3690000,6500000,13700000,3e+07,49100000,55200000,55700000,54900000,53900000,55600000,59300000,62500000,61200000,60700000,56700000,55700000,53900000,54800000
"URY",0,0,0,0,0,0,0,0,0,0,0,0,0,1710,4970,6830,39900,78600,99200,151000,319000,411000,520000,514000,498000,6e+05,1150000,2330000,3e+06,3510000,4110000,4440000,4760000,5e+06,5270000,5500000,5170000,5120000,5100000,5170000,4780000
"USA",0,0,0,0,0,91600,340000,682000,1230000,2070000,3510000,5280000,7560000,1.1e+07,1.6e+07,24100000,33800000,4.4e+07,55300000,69200000,8.6e+07,1.09e+08,1.29e+08,1.42e+08,1.61e+08,1.85e+08,2.04e+08,2.3e+08,2.49e+08,2.61e+08,2.74e+08,2.85e+08,2.97e+08,3.05e+08,3.11e+08,3.56e+08,3.82e+08,3.96e+08,4e+08,4.22e+08,4.22e+08
"UZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,902,3730,9510,17200,26800,40400,53100,128000,187000,321000,544000,720000,2530000,5690000,12400000,16400000,2.1e+07,25400000,20300000,21500000,21600000,21800000,23300000,24300000,23200000,33400000
"VCT",0,0,0,0,0,0,0,0,0,0,0,0,0,70,83,150,215,280,346,750,1420,2360,7490,9980,62900,72000,70600,87600,110000,130000,121000,132000,132000,127000,125000,115000,113000,113000,116000,106000,103000
"VEN",0,0,0,0,0,0,0,0,0,1800,3690,7420,16600,78600,183000,319000,404000,582000,1070000,2010000,3780000,5450000,6470000,6540000,7020000,8420000,12500000,18800000,23800000,27400000,28100000,27900000,28800000,30600000,30900000,30500000,29100000,27600000,24500000,20700000,16600000
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,1200,1200,1200,9349.56919652059,8000,8000,8000,8000,22426.0419672672,20700,23000,47000,47500,46600,48700,53400,54800,57200,39700,44000,40000,40000
"VNM",0,0,0,0,0,0,0,0,0,0,0,0,0,800,4060,12500,23500,68900,160000,223000,329000,789000,1250000,1900000,2740000,4960000,9590000,18900000,4.5e+07,74900000,98200000,1.12e+08,1.27e+08,1.32e+08,1.24e+08,1.36e+08,1.2e+08,1.21e+08,1.2e+08,1.41e+08,1.36e+08
"VUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,121,154,207,220,300,365,350,4900,7800,10500,12700,15000,26000,36000,132000,170000,137000,146000,127000,156000,175000,219000,228000,251000,265000
"WSM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,1480,2430,2500,2500,2700,10500,16000,24000,45500,86000,86000,71578.4626652716,90000,86128.1999429278,1e+05,99900,107000,121000,151000,124000,124000,124000
"YEM",0,0,0,0,0,0,0,0,0,0,0,0,0,1550,5170,8190,8250,8810,12200,16100,27700,32000,148000,487000,675000,1480000,2280000,2980000,4350000,6450000,8310000,11100000,11700000,13900000,16800000,17100000,1.5e+07,16400000,15400000,15300000,15300000
"ZAF",0,0,0,0,0,0,0,0,0,0,3980,5680,7100,12500,40000,340000,535000,953000,1840000,3340000,5190000,8340000,10800000,13700000,16900000,20800000,3.4e+07,39700000,42300000,4.5e+07,46400000,50400000,6.4e+07,68400000,76900000,79300000,8.8e+07,82400000,88500000,92400000,9.7e+07
"ZMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,2720,4550,8260,28200,98900,121000,139000,241000,464000,950000,1660000,2640000,3540000,4410000,5450000,8160000,10500000,10400000,10100000,11600000,1.2e+07,13400000,15500000,17200000
"ZWE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730,19000,174000,266000,314000,339000,364000,426000,647000,849000,1230000,1650000,3990000,7700000,9200000,12600000,13600000,11800000,12800000,12900000,14100000,12900000,13200000
