"iso.3","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"ESP",0,0,0,0,0,0,0,1700,4200,11600,29800,54700,108000,180000,257000,412000,945000,3e+06,4340000,6440000,1.5e+07,24300000,29700000,33500000,37200000,38600000,42700000,45700000,48400000,49600000,51100000,51400000,52600000,50700000,50200000,50800000,51100000,51500000,52500000,54200000,55300000
"EST",0,0,0,0,0,0,0,0,0,0,0,0,570,2500,7220,13800,30500,69500,144000,247000,387000,557000,651000,881000,1050000,1260000,1450000,1660000,1680000,1620000,1570000,1650000,1810000,2e+06,1930000,1900000,1900000,1900000,1900000,1920000,1950000
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6740,17800,27500,50400,51300,156000,411000,867000,1210000,1950000,4050000,6850000,14100000,20500000,25600000,30500000,42300000,51200000,39600000,39600000,39600000
"FIN",0,23500,28300,33900,42200,52000,67600,85300,106000,138000,190000,258000,319000,386000,489000,676000,1040000,1500000,2160000,2850000,3270000,3730000,4180000,4520000,4750000,4990000,5270000,5670000,6080000,6830000,7700000,8390000,8940000,9320000,7410000,7600000,7400000,7220000,7160000,7150000,7150000
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,2200,3700,5200,8000,23400,55100,80900,89900,110000,142000,205000,285000,530000,6e+05,640000,698000,727000,859000,930000,876000,966000,1040000,1030000,1030000,1030000
"FRA",0,0,0,0,0,0,0,9060,39200,98300,178000,283000,375000,437000,572000,883000,1300000,2460000,5820000,11200000,21400000,29100000,3.7e+07,38600000,41700000,44500000,48100000,51700000,55400000,5.8e+07,57900000,57800000,59800000,62300000,63300000,65400000,66700000,67600000,6.9e+07,70400000,7.2e+07
"FRO",0,0,0,0,0,0,0,0,0,0,0,0,1430,1720,1610,1960,2560,3270,4700,6520,10800,17000,24500,34700,38000,41300,42000,50000,52200,54900,57000,59400,58500,58700,57800,58300,53200,54500,56600,56800,56800
"FSM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5870,12800,14100,18600,27400,27500,27500,27500,27600,31200,31400,25153.3233532934,22500,23400,23100,23100,23100
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,280,1200,2580,4000,6800,9500,9690,8890,120000,150000,279000,3e+05,489000,737000,898000,1170000,1300000,1450000,1610000,2370000,2560000,2750000,2930000,2820000,2960000,2660000,2930000,2930000
"GBR",0,0,0,0,0,0,50000,130000,290000,560000,975000,1110000,1260000,1510000,2270000,3940000,5740000,7250000,8840000,14900000,27200000,43500000,46300000,49200000,54300000,59700000,65500000,70100000,73800000,74900000,76500000,76700000,77200000,78300000,78700000,78500000,79300000,78900000,79100000,79500000,79500000
"GEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2300,30000,60000,133000,195000,301000,504000,711000,841000,1170000,1700000,2600000,2760000,2840000,3980000,4430000,4700000,4990000,5400000,5550000,5530000,5500000,5460000,5380000
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,400,1740,3340,6200,12800,21900,41800,70000,130000,244000,387000,796000,1700000,2870000,5210000,7600000,11600000,15100000,17400000,21200000,25600000,2.8e+07,30400000,3.5e+07,38300000,36800000,40900000,40900000
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,1000,1620,2450,3650,5560,9800,12200,15900,18400,20000,22000,24000,26000,28600,30000,32500,34800,34541.0396039604,38000,41400,41100,41000,41000,40500
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,812,950,950,2870,21600,25200,42100,55700,90800,112000,155000,189000,3769116.30769231,2e+06,2750000,3490000,4e+06,4860000,5580000,7440000,8680000,10800000,11100000,11700000,1.2e+07,12900000
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,204,457,812,1440,3100,4730,5050,5310,5600,55100,1e+05,149000,175000,247000,404000,8e+05,1170000,1310000,1480000,1400000,1530000,1850000,2280000,2720000,2840000,2970000,3180000,3180000
"GNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,39500,98800,157000,296000,5e+05,560000,677000,733000,1050000,940000,1110000,1240000,1290000,1430000,1480000,1590000
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,300,297,600,5000,15000,32000,41500,61900,96900,120000,150000,180000,2e+05,399000,479000,501000,511000,517000,533000,576000,566000,591000,591000
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,153000,273000,532000,938000,2050000,3900000,5930000,7960000,9310000,8940000,9320000,10300000,1.1e+07,12300000,13800000,13300000,12300000,12100000,13400000,12500000,12100000,12600000,12500000,12900000,12200000,11900000
"GRD",0,0,0,0,0,0,0,0,0,0,0,150,147,181,282,350,400,570,976,1410,2010,4300,6410,7550,42300,43300,46900,46200,51400,60000,114000,122000,121000,130000,133000,117000,120000,119000,113000,116000,116000
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,171,438,964,2050,4120,6480,8900,13500,15100,15900,19900,29700,39000,46500,53900,66400,55800,53500,57300,58700,59500,60400,60800,61000,68417.1653042689,62200,62500,64900
"GTM",0,0,0,0,0,0,0,0,0,0,0,293,1220,2140,2990,10500,30000,43400,64200,111000,338000,857000,1150000,1580000,2030000,3170000,4510000,7180000,11900000,14900000,17300000,18100000,19500000,20800000,21700000,16900000,18100000,18300000,2e+07,20500000,20900000
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,841,1030,1250,1240,1200,1400,1450,2820,39800,75300,79400,138000,172000,281000,4e+05,539000,448000,489000,560000,529000,547000,555000,567000,543000,585000,643000,643000,643000
"HKG",0,0,0,0,0,1000,4400,10000,28100,51300,89200,134000,190000,233000,291000,485000,798000,1360000,2230000,3170000,4280000,5450000,5780000,6400000,7350000,8210000,8540000,9440000,10800000,11600000,12600000,13800000,15300000,16400000,1.7e+07,1.7e+07,16700000,17600000,18400000,19900000,21500000
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310,14400,34900,78600,155000,238000,327000,379000,707000,1280000,2240000,4180000,6210000,8390000,9510000,8060000,7370000,7770000,7730000,8050000,7830000,8230000,7590000,7090000
"HRV",0,0,0,0,0,0,0,0,0,0,0,240,2020,6320,11400,21700,33700,64900,120000,183000,295000,1030000,1750000,2310000,2540000,2840000,3650000,4400000,5030000,4550000,4680000,4930000,5120000,4970000,4720000,4460000,4420000,4410000,4320000,4390000,4400000
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,25000,55000,91500,140000,320000,4e+05,5e+05,1200000,2500000,3200000,3650000,4e+06,4200000,6090000,7160000,6770000,7300000,6500000,6310000,6400000,6400000
"HUN",0,0,0,0,0,0,0,0,0,0,0,2650,8480,23300,45700,143000,265000,473000,706000,1070000,1630000,3080000,4970000,6890000,7940000,8730000,9320000,9970000,1.1e+07,12200000,11800000,1.2e+07,11700000,11600000,11600000,11700000,9900000,9950000,9950000,1e+07,10300000
"IDN",0,0,0,0,0,1750,2030,4530,6320,9010,12900,18100,24500,35500,53400,78000,211000,563000,916000,1070000,2220000,3670000,6520000,11700000,18500000,30300000,46900000,63800000,93400000,1.41e+08,1.64e+08,2.11e+08,2.5e+08,2.82e+08,3.13e+08,3.26e+08,3.39e+08,3.86e+08,4.35e+08,3.19e+08,3.45e+08
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76700,328000,882000,1200000,1880000,3580000,6540000,1.3e+07,33700000,52200000,90100000,1.66e+08,2.34e+08,3.47e+08,5.25e+08,7.52e+08,8.94e+08,8.65e+08,8.86e+08,9.44e+08,1e+09,1.13e+09,1.17e+09,1.18e+09,1.15e+09
"IRL",0,0,0,0,0,0,300,1500,3480,6300,13600,25000,32000,44000,61100,88000,158000,289000,545000,946000,1680000,2460000,2970000,3e+06,3500000,3860000,4270000,4690000,4970000,5050000,4700000,4700000,4910000,5010000,4880000,4910000,4900000,4880000,4900000,4970000,5150000
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9200,15900,60000,239000,390000,490000,963000,2090000,2280000,3450000,5080000,8510000,15400000,29800000,4.3e+07,52600000,54100000,5.6e+07,58200000,65200000,68900000,74200000,80500000,8.7e+07,88700000,1.18e+08
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,80000,574000,1530000,9350000,1.4e+07,17500000,20100000,23300000,25500000,26800000,32500000,3.3e+07,33600000,33400000,33400000,36500000,36500000
"ISL",0,0,0,0,0,0,0,2640,5010,6520,7890,10000,12900,15300,17400,21800,30900,46800,65400,104000,173000,215000,248000,260000,280000,290000,283000,302000,326000,337000,340000,341000,344000,352000,356000,370000,384000,402000,401000,411000,413000
"ISR",0,0,0,0,0,0,0,0,0,0,0,15200,23000,36100,64500,133000,445000,1050000,1670000,2150000,2880000,4400000,5500000,6300000,6620000,7220000,7760000,8400000,8900000,8980000,9020000,9110000,9200000,9220000,9500000,9500000,10600000,10600000,10500000,10700000,10800000
"ITA",0,0,0,0,0,0,6420,9040,16500,33600,66100,266000,568000,783000,1210000,2240000,3920000,6420000,11700000,20500000,30300000,42200000,51200000,54200000,56800000,62800000,71500000,80400000,89800000,90300000,9e+07,93700000,9.6e+07,97200000,96900000,89900000,87700000,8.6e+07,83900000,83300000,80600000
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,2450,7630,15200,26100,45100,54600,66000,78600,144000,367000,598000,1240000,1580000,1840000,1980000,2270000,2680000,2720000,2960000,3180000,2950000,2710000,2850000,3010000,3140000,3270000,3090000,2960000,3020000
"JOR",0,0,0,0,0,0,0,0,0,0,0,1440,1460,1460,1460,1450,11800,24100,45000,82400,118000,389000,866000,1220000,1330000,1620000,3140000,4340000,4770000,5310000,6010000,6620000,7480000,8980000,10300000,11100000,13800000,9820000,9700000,8730000,7780000
"JPN",0,0,13300,19800,27200,40400,61800,95100,151000,243000,490000,868000,1380000,1710000,2130000,4330000,11700000,26900000,38300000,47300000,56800000,66800000,74800000,81100000,86700000,91500000,96500000,99800000,1.07e+08,1.1e+08,1.16e+08,1.23e+08,1.33e+08,1.41e+08,1.48e+08,1.58e+08,1.61e+08,1.67e+08,1.73e+08,1.8e+08,1.8e+08
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,4600,9800,11200,29700,49500,197000,582000,1030000,1330000,2450000,5400000,7780000,12300000,14900000,17100000,19400000,25200000,30200000,30400000,28600000,26300000,25500000,26700000,26100000,25700000
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1160,1990,2280,2830,6770,10800,23800,127000,6e+05,1190000,1590000,2550000,4610000,7340000,11300000,16300000,19400000,2.5e+07,28100000,30700000,31800000,33600000,37700000,3.9e+07,42800000,49500000,54600000
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,2570,9000,27000,53100,138000,263000,542000,1260000,2170000,3390000,4490000,5280000,6280000,6800000,6740000,7560000,7580000,7610000,8470000,8740000,8620000
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810,10200,14100,23100,33600,61300,89100,131000,223000,380000,498000,862000,1060000,1720000,2580000,4240000,6270000,8150000,13800000,19100000,20300000,20500000,20900000,19900000,18600000,19400000,21400000
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,200,300,395,495,526,615,650,700,750,1000,9910,10600,13800,18000,20000,30000,41000,52000,46100,53300,54700
"KNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,205,440,700,1200,2100,5000,22000,29000,51000,51000,64500,74500,75500,80000,77000,76000,77000,65000,73000,76600,76900,76900,76900
"KOR",0,0,0,0,0,0,0,7090,10300,20400,39700,80000,166000,272000,472000,960000,1640000,3180000,6880000,1.4e+07,23400000,26800000,2.9e+07,32300000,33600000,36600000,38300000,40200000,44400000,45600000,47900000,50800000,52500000,53600000,54700000,57300000,58900000,61300000,63700000,66400000,68900000
"KWT",0,0,0,0,0,0,0,8200,14300,17500,22500,20700,43000,51000,64300,85200,118000,151000,210000,250000,3e+05,476000,878000,1230000,1420000,1770000,1380000,1180000,1430000,1500000,2620000,3980000,4930000,5100000,6410000,7600000,7660000,7660000,7140000,7100000,7330000
"LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,290,340,625,1540,3790,4920,6450,12100,12700,29500,55200,112000,204000,658000,1010000,1480000,2020000,3230000,4e+06,5480000,4300000,4610000,4620000,3730000,3960000,3710000,3660000,4360000
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,198000,374000,505000,627000,743000,767000,775000,795000,884000,994000,1110000,1260000,1430000,2390000,2860000,3460000,3760000,3880000,4390000,4660000,4280000,4400000,4420000,4240000
"LBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,2000,5000,47300,94400,160000,280000,563000,855000,1090000,1570000,2020000,2380000,2550000,3230000,3650000,3120000,2660000,2660000,2660000
"LBY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,20000,30000,40000,50000,70000,127000,5e+05,2e+06,3930000,4500000,7380000,9530000,10900000,1e+07,9590000,10200000,8500000,9750000,7660000,6020000,6020000,6020000
"LCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,1000,1400,1600,1900,2300,2500,2700,14300,99000,101000,106000,106000,147000,175000,190000,198000,217000,216000,212000,188000,188000,177000,177000,185000,185000
"LIE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,9000,10000,11000,11400,25000,25500,27500,28800,32000,34000,35000,35500,37000,36100,38400,40700,41000,44300,46400,47300,48300
"LKA",0,0,0,0,0,0,0,0,0,0,0,1010,1800,2640,14700,29200,51300,71000,115000,174000,257000,430000,668000,931000,1390000,2210000,3360000,5410000,7980000,11100000,16300000,17400000,18300000,19300000,20300000,22100000,23900000,25800000,28200000,30300000,30300000
"LSO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,3500,9830,12000,21600,57000,138000,126000,196000,250000,358000,482000,593000,661000,987000,1230000,1540000,1790000,2140000,2140000,2280000,2380000,2380000,2380000
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,267,1240,4510,14800,51000,165000,268000,332000,524000,1020000,1650000,2100000,3050000,4350000,4720000,4910000,5020000,4960000,4890000,4940000,5e+06,4570000,4270000,4180000,4200000,4360000,4590000,4660000
"LUX",0,0,0,0,0,0,40,292,375,542,665,824,1140,1120,5080,12900,26800,45000,67200,131000,209000,303000,409000,473000,539000,470000,510000,713000,685000,707000,720000,727000,765000,761000,788000,802000,807000,764000,794000,799000,836000
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,1030,3800,8360,15000,28500,77100,167000,274000,401000,657000,917000,1220000,1540000,1870000,2180000,2220000,2300000,2300000,2310000,2310000,2630000,2560000,2380000,2590000,2650000,2460000,2070000,2070000
"MAC",0,0,0,0,0,0,0,0,0,0,1360,2230,4850,10500,15100,21400,35900,44800,52800,82100,118000,141000,194000,276000,364000,432000,533000,636000,794000,933000,1040000,1120000,1350000,1610000,1720000,1860000,1900000,1970000,2050000,2180000,2180000
"MAR",0,0,0,0,0,0,0,0,60,105,700,904,1500,3220,6730,13800,29500,42900,74500,117000,369000,2340000,4770000,6200000,7360000,9340000,12400000,1.6e+07,2e+07,22800000,25300000,3.2e+07,36600000,3.9e+07,42400000,44100000,43100000,41500000,43900000,44700000,46700000
"MCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,2560,3010,5400,7200,11500,13100,13900,14300,14900,15100,15800,17200,18300,20400,22000,23000,23400,31800,33200,35500,33700,34000,33300,33000,32700,33800
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,920,2200,7000,18000,139000,225000,338000,476000,787000,1090000,1360000,1880000,2420000,2140000,2550000,3220000,3580000,3700000,3740000,3710000,3790000,3750000,3640000,3610000
"MDG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1300,2300,4100,12800,35800,63100,148000,163000,284000,334000,510000,1050000,2220000,4840000,6280000,7710000,8680000,8780000,8460000,9710000,10700000,8e+06,8730000,10700000,10700000
"MDV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1290,1610,2930,7640,18900,41900,66500,113000,204000,271000,314000,436000,458000,494000,530000,561000,625000,666000,740000,812000,9e+05,858000,828000
"MEX",0,0,0,0,0,0,0,0,0,1500,8500,63900,161000,313000,386000,569000,689000,1020000,1740000,3350000,7730000,14100000,21800000,25900000,30100000,38500000,47100000,55400000,66600000,75300000,83200000,91400000,94600000,1.01e+08,1.07e+08,1.05e+08,1.08e+08,1.12e+08,1.14e+08,1.2e+08,1.21e+08
"MHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,264,365,466,345,443,447,489,552,598,644,660,660,660,660,660,660,660,660,8263.1130621526,15500,15500,10166.7475997979,16000,16000,16000
"MKD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,12400,30100,48700,116000,223000,365000,776000,986000,1130000,1260000,1790000,1970000,1940000,2150000,2210000,2240000,2240000,2220000,2080000,2050000,2010000,1970000,2060000
"MLI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,2840,4470,6390,10400,24000,46000,247000,407000,762000,1510000,2530000,3440000,4460000,7440000,10800000,14600000,19700000,23500000,22700000,20200000,2.2e+07,2.2e+07,2.2e+07
"MLT",0,0,0,0,0,0,0,0,0,0,0,0,2280,3500,5300,7500,10800,12500,17700,22500,37500,114000,239000,277000,290000,306000,324000,347000,369000,386000,422000,456000,522000,532000,557000,546000,524000,585000,605000,616000,635000
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,1920,2770,7260,8490,8520,11400,13400,22700,48000,66500,92500,129000,214000,248000,367000,502000,594000,1240000,3730000,6830000,2.9e+07,4.1e+07,50600000,47900000,61100000,61100000
"MNE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484000,543000,644000,9e+05,1160000,1290000,1170000,1160000,991000,994000,1010000,1010000,1040000,1040000,1130000,1150000
"MNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,2000,9030,34600,155000,195000,216000,319000,429000,557000,775000,1190000,1760000,2250000,2510000,2940000,3380000,2880000,3030000,3070000,3370000,3890000,4220000,4420000
"MOZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,6730,12200,51100,153000,255000,436000,708000,1500000,2340000,3080000,4410000,5970000,7220000,7860000,8800000,12400000,18500000,20100000,1.5e+07,11900000,14100000,14100000
"MRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,110000,247000,351000,522000,746000,1060000,1410000,2090000,2180000,2780000,3310000,4030000,3990000,3750000,3640000,3610000,4070000,4570000,4710000
"MUS",0,0,0,0,0,0,0,0,0,0,0,2200,2500,2910,4040,5710,11700,20800,42500,60400,102000,180000,272000,348000,462000,548000,657000,772000,929000,1030000,1090000,1190000,1290000,1490000,1530000,1650000,1760000,1810000,1840000,1920000,1920000
"MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,3700,7000,10500,22500,49000,55700,86000,135000,222000,421000,620000,1050000,1510000,2490000,3120000,3950000,4650000,5290000,5630000,6570000,7180000,7770000,7080000,8900000
"MYS",0,0,0,0,0,0,0,10800,17400,27300,39400,86600,130000,201000,340000,572000,1010000,1520000,2e+06,2200000,2990000,5120000,7380000,9050000,11100000,14600000,19500000,19500000,23300000,27700000,30100000,33900000,36700000,41300000,4.3e+07,44900000,44100000,43500000,42300000,42400000,44600000
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,6640,12500,19500,30000,82000,107000,150000,224000,286000,449000,609000,8e+05,1050000,1630000,1950000,2190000,2150000,2730000,2670000,2550000,2660000,2680000,2760000,2820000
"NCL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,2060,5200,13000,25400,49900,67900,80000,97100,116000,134000,155000,176000,196000,210000,221000,227000,231000,241000,243000,260000,260000,260000,260000,260000
"NER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1350,2190,2060,2130,57500,82400,172000,324000,483000,9e+05,1900000,2600000,3670000,4740000,5400000,7010000,8240000,8960000,7470000,8780000,8780000,8780000
"NGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9050,12800,13000,14000,15000,20000,25000,30000,266000,1570000,3150000,9150000,18600000,32300000,40400000,6.3e+07,74500000,87300000,95200000,1.13e+08,1.27e+08,1.39e+08,1.51e+08,1.54e+08,1.45e+08,1.73e+08,1.73e+08
"NIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,2180,4400,5100,7560,18300,44200,90300,165000,237000,467000,739000,1120000,1830000,2500000,3110000,3340000,3960000,4820000,5850000,6810000,7070000,7260000,7750000,8180000,7440000,5790000
"NLD",0,0,0,0,0,0,4800,15300,24200,33000,56000,79000,115000,166000,216000,321000,539000,1020000,1720000,3350000,6750000,10800000,12200000,12100000,13200000,14800000,15800000,17300000,19300000,20600000,20100000,19200000,19800000,19700000,19500000,19600000,20800000,20900000,20500000,21100000,21800000
"NOR",0,0,1670,11100,23500,39000,63100,87100,120000,152000,168000,197000,234000,283000,371000,588000,981000,1260000,1680000,2070000,2660000,3220000,3590000,3790000,4060000,4520000,4750000,4870000,5040000,5210000,5350000,5600000,5730000,5800000,5690000,5740000,5710000,5730000,5720000,5720000,5720000
"NPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,10200,17300,21900,81900,117000,227000,1160000,3270000,4200000,5600000,9200000,13400000,16600000,21400000,2.3e+07,27500000,32100000,36100000,39200000,39200000
"NRU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,450,500,600,750,850,1000,1200,1500,1500,1500,1500,1500,1500,1500,1500,5202.12285919393,6200,6700,6800,6800,7338.92934058045,9400,9900,10000,10000,10000
"NZL",0,0,0,0,0,0,0,0,2400,10000,28900,54100,72300,1e+05,144000,239000,365000,493000,566000,790000,1400000,1540000,2290000,2450000,2600000,3030000,3530000,3800000,4250000,4620000,4700000,4710000,4820000,4920000,4770000,5100000,5600000,6100000,6400000,6400000,6400000
"OMN",0,0,0,0,0,0,52,747,1160,1710,2100,2730,3670,4720,5620,6750,8050,15000,53000,98000,121000,162000,323000,463000,594000,806000,1330000,1820000,2500000,3220000,3970000,4610000,4810000,5280000,5620000,6190000,6650000,6870000,6940000,6440000,6380000
"PAK",0,0,0,0,0,0,0,0,0,0,0,2000,8500,13500,16000,24700,41000,68000,135000,196000,266000,306000,743000,1700000,2400000,5020000,12800000,34500000,62900000,8.8e+07,94300000,99200000,1.09e+08,1.2e+08,1.28e+08,1.36e+08,1.26e+08,1.36e+08,1.45e+08,1.54e+08,1.65e+08
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,23500,85900,233000,410000,475000,526000,692000,1260000,1750000,2170000,3010000,3920000,6070000,6650000,6740000,6210000,6200000,6910000,5740000,5140000,5280000,5720000,5600000
"PER",0,0,0,0,0,0,0,0,0,0,0,1650,5700,21600,36300,52200,73500,201000,422000,743000,1010000,1270000,1790000,2310000,2930000,4090000,5580000,9120000,15400000,2.1e+07,24700000,29100000,32500000,29400000,29800000,31900000,34200000,36900000,38900000,42200000,42200000
"PHL",0,0,0,0,0,0,0,0,0,0,0,0,34600,56000,102000,172000,494000,959000,1340000,1730000,2850000,6450000,12200000,15400000,22500000,32900000,34800000,42900000,57300000,68100000,75600000,83200000,94200000,1.02e+08,1.03e+08,1.11e+08,1.18e+08,1.2e+08,1.16e+08,1.35e+08,1.67e+08
"PLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460,3920,3920,6050,8350,10700,11700,12700,14500,15400,17200,17900,19100,23700,23700,23700,23700,23700
"PNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,3860,5560,7060,8560,10700,15000,17500,48300,75000,1e+05,3e+05,874000,1420000,1910000,2400000,2710000,3e+06,3360000,3560000,3780000,4020000,4020000,4020000
"POL",0,0,0,0,0,0,0,0,0,0,0,0,0,2200,15700,38900,75000,217000,812000,1930000,3960000,6750000,1e+07,13900000,17400000,23100000,29200000,36700000,41400000,43900000,44800000,4.7e+07,50200000,54100000,5.7e+07,56900000,54500000,5.3e+07,50500000,51100000,52300000
"PRI",0,0,0,0,0,0,0,0,3920,8700,11600,20400,33400,60000,95000,175000,287000,329000,367000,580000,814000,1320000,1630000,1650000,1710000,1850000,1990000,2200000,2430000,2540000,2710000,2930000,3110000,3050000,3090000,3210000,3200000,3250000,3390000,3330000,3370000
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69300,432000,1e+06,1700000,2420000,2800000,3240000,3610000,3810000,3810000,3810000
"PRT",0,0,0,0,0,0,0,0,0,0,2780,6500,12600,37300,101000,174000,341000,664000,1510000,3070000,4670000,6660000,7980000,8670000,1e+07,10600000,11400000,12200000,13500000,1.4e+07,11800000,12200000,12300000,11900000,1.2e+07,11900000,11700000,11600000,11800000,11900000,11900000
"PRY",0,0,0,0,0,0,0,0,0,0,0,0,0,1500,3390,7660,15800,32900,84200,232000,436000,821000,1150000,1670000,1770000,1750000,1890000,3230000,4690000,5790000,5620000,5920000,6530000,6790000,7050000,7310000,7410000,7490000,7470000,7440000,7440000
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080,176000,252000,264000,437000,568000,822000,1020000,1310000,1800000,2600000,2880000,3130000,3190000,3200000,3530000,3710000,4e+06,4380000,4380000
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,2720,5430,11100,21900,39900,67300,52300,60100,96000,120000,152000,175000,187000,208000,216000,223000,228000,243000,255000,268000,280000,288000,303000,303000
"QAT",0,0,0,0,0,0,0,0,0,0,0,3810,4060,4230,4290,11500,18500,28800,43500,65800,84400,121000,178000,267000,377000,490000,717000,920000,1260000,1430000,1950000,2190000,2300000,2600000,3310000,3310000,3740000,3650000,3990000,3950000,3920000
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,2780,9070,17000,201000,643000,1360000,2500000,3850000,5110000,7040000,10200000,13400000,1.6e+07,20400000,24500000,25100000,24400000,23400000,22800000,22900000,22900000,23100000,22900000,22400000,22600000,22700000
"RUS",0,0,0,0,0,0,0,0,0,0,0,0,300,6000,10000,27700,88500,223000,485000,747000,1370000,3260000,7750000,17600000,36100000,73700000,1.2e+08,1.51e+08,1.71e+08,2e+08,2.3e+08,2.38e+08,2.04e+08,2.08e+08,2.18e+08,2.21e+08,2.27e+08,2.29e+08,2.27e+08,2.29e+08,2.4e+08
"RWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,11000,39000,65000,82400,131000,137000,223000,314000,635000,1320000,2430000,3550000,4450000,5690000,6690000,7750000,8760000,8920000,8820000,9700000,9660000
